shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__5____1__IT_1,40.4090130728343,-3.71021696963483,19000212,1092.22276770151
4__5____1__IT_1,40.4089971368486,-3.71023000198336,19000213,1092.58264057694
4__5____1__IT_1,40.408989168671,-3.71023640147596,19000214,1092.94355132809
4__5____1__IT_1,40.40898129167,-3.71024291742443,19000215,1093.30549659073
4__5____1__IT_1,40.4089733234845,-3.71024931809252,19000216,1093.66847978211
4__5____1__IT_1,40.4089573874951,-3.71026235042583,19000217,1094.03354911825
4__5____1__IT_1,40.4089495112166,-3.71026874851994,19000218,1094.39964758802
4__5____1__IT_1,40.4089415414339,-3.71027526230689,19000219,1094.76678919157
4__5____1__IT_1,40.4089335759491,-3.71028166299583,19000220,1095.13496846948
4__5____1__IT_1,40.4089256070592,-3.7102881779677,19000221,1095.50419085046
4__5____1__IT_1,40.4089177300408,-3.71029469626104,19000222,1095.87444785119
4__5____1__IT_1,40.4089097609733,-3.71030109337213,19000223,1096.24574270646
4__5____1__IT_1,40.4089017947704,-3.71030761072481,19000224,1096.61808051908
4__5____1__IT_1,40.4088938257022,-3.7103140078329,19000225,1096.99145618625
4__5____1__IT_1,40.408885949576,-3.71032052730815,19000226,1097.36586644324
4__5____1__IT_1,40.4088779797903,-3.71032704108293,19000227,1097.741319834
4__5____1__IT_1,40.4088700143026,-3.71033344175981,19000228,1098.11781089912
4__5____1__IT_1,40.4088621345937,-3.7103399576572,19000229,1098.49533672801
4__5____1__IT_1,40.4088541682118,-3.71034635714313,19000230,1098.87390026303
4__5____1__IT_1,40.4088382331124,-3.71035938944029,19000231,1099.25454985845
4__5____1__IT_1,40.4088303568286,-3.71036578751192,19000232,1099.6362285875
4__5____1__IT_1,40.4088223870114,-3.71037230598999,19000233,1100.01895066505
4__5____1__IT_1,40.408814421543,-3.71037870312089,19000234,1100.40271025792
4__5____1__IT_1,40.4088064517323,-3.71038522041743,19000235,1100.78751314559
4__5____1__IT_1,40.4087985756239,-3.7103917363406,19000236,1101.17335046067
4__5____1__IT_1,40.408790606551,-3.71039813342909,19000237,1101.56022563029
4__5____1__IT_1,40.4087826403427,-3.71040465075895,19000238,1101.94814375727
4__5____1__IT_1,40.4087746712691,-3.71041104784443,19000239,1102.33709973878
4__5____1__IT_1,40.4087667942438,-3.71041756610904,19000240,1102.72709034005
4__5____1__IT_1,40.4087588260704,-3.71042396320098,19000241,1103.11811871105
4__5____1__IT_1,40.4087428900615,-3.71043699545218,19000242,1103.51123322682
4__5____1__IT_1,40.4087350137517,-3.71044339704126,19000243,1103.90537703654
4__5____1__IT_1,40.4087270448527,-3.71044991197512,19000244,1104.30056394934
