name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
TJ's Sports Bar,108 High Street,Wealdstone,Harrow,Harrow,,,E09000015,Marlborough,E05000296,515409.0001221001,189923.00012210011,-0.3336408771417386,51.595842863212084,02/20/2022
Dalys,100 High Street,Wealdstone,Harrow,Harrow,,,E09000015,Marlborough,E05000296,515409.0001221001,189923.00012210011,-0.3336408771417386,51.595842863212084,02/20/2022
Everest Lounge,60 Peel Road,Wealdstone,Harrow,Harrow,,,E09000015,Marlborough,E05000296,515653.0001221001,189687.00012210011,-0.33019724456872046,51.59367151523965,02/20/2022
Beefeater,Kenton Road,Kenton,Harrow,Harrow,,,E09000015,Kenton West,E05000295,516712.0001221001,188419.00012210011,-0.31533615484544497,51.58205567742646,02/20/2022
New Moon,25-26 Kenton Park Parade,Kenton,Harrow,Harrow,,,E09000015,Kenton West,E05000295,517617.0001221001,188981.00012210011,-0.3020908812949674,51.586918994810894,02/20/2022
Funky Brownz,"Belmont Circle, Kenton Lane",Belmont,,Harrow,,,E09000015,Belmont,E05000285,516546.0001221001,190542.00012210011,-0.31702593085381636,51.601172590221466,02/20/2022
Life Of Riley,7a Warwick Parade,Belmont,,Harrow,,,E09000015,Kenton West,E05000295,516587.0001221001,190447.00012210011,-0.31646573320339283,51.60031019838621,02/20/2022
Circle Lounge,"12-13 Station Parade, Kenton Lane",Belmont,,Harrow,,,E09000015,Kenton West,E05000295,516508.0001221001,190455.00012210011,-0.31760331778103346,51.60039845695023,02/20/2022
Badger Kelly's,"14 Station Parade, Kenton Lane",Belmont,,Harrow,,,E09000015,Kenton West,E05000295,516508.0001221001,190455.00012210011,-0.31760331778103346,51.60039845695023,02/20/2022
Buckley's Bar,187 Streatfield Road,Queensbury,Harrow,Harrow,,,E09000015,Queensbury,E05000299,518139.0001221001,189940.00012210011,-0.2942360156537316,51.595429630292145,02/20/2022
